,AAPL,FB,NVDA,PYPL,SHOP,SQ,TDOC,TSLA,TWTR,Z
,close,close,close,close,close,close,close,close,close,close
Date,,,,,,,,,,
2020-06-01,80.4625015258789,231.91000366210938,352.25,154.52999877929688,758.0,82.72000122070312,173.6199951171875,179.6199951171875,31.889999389648438,58.220001220703125
2020-06-02,80.83499908447266,232.72000122070312,353.010009765625,157.49000549316406,779.5,88.0,169.8699951171875,176.31199645996094,32.2599983215332,59.380001068115234
2020-06-03,81.27999877929688,230.16000366210938,350.7799987792969,156.77999877929688,762.02001953125,91.97000122070312,164.58999633789062,176.5919952392578,34.880001068115234,62.06999969482422
2020-06-04,80.58000183105469,226.2899932861328,350.6600036621094,154.60000610351562,735.1900024414062,87.72000122070312,157.14999389648438,172.87600708007812,33.720001220703125,61.41999816894531
2020-06-05,82.875,230.77000427246094,356.79998779296875,156.0,727.77001953125,89.93000030517578,161.64999389648438,177.1320037841797,34.869998931884766,59.31999969482422
2020-06-08,83.36499786376953,231.39999389648438,352.20001220703125,156.08999633789062,730.6699829101562,89.62000274658203,166.35000610351562,189.98399353027344,36.63999938964844,62.2599983215332
2020-06-09,85.99749755859375,238.6699981689453,361.8399963378906,156.86000061035156,741.7000122070312,89.52999877929688,168.8300018310547,188.13400268554688,35.91999816894531,61.189998626708984
2020-06-10,88.20999908447266,236.72999572753906,374.6700134277344,159.91000366210938,743.6400146484375,91.91000366210938,176.7100067138672,205.00999450683594,35.13999938964844,59.59000015258789
2020-06-11,83.9749984741211,224.42999267578125,351.8500061035156,153.0399932861328,725.1199951171875,86.08999633789062,173.72999572753906,194.5679931640625,33.029998779296875,56.29999923706055
2020-06-12,84.69999694824219,228.5800018310547,357.29998779296875,155.25999450683594,742.5800170898438,86.72000122070312,172.27000427246094,187.05599975585938,33.400001525878906,56.790000915527344
2020-06-15,85.74749755859375,232.5,366.95001220703125,157.5500030517578,805.469970703125,91.0,188.27999877929688,198.17999267578125,34.11000061035156,60.0
2020-06-16,88.0199966430664,235.64999389648438,362.739990234375,161.22000122070312,805.760009765625,94.73999786376953,188.41000366210938,196.42599487304688,34.630001068115234,59.099998474121094
2020-06-17,87.89749908447266,235.52999877929688,369.44000244140625,163.8300018310547,817.3599853515625,97.02999877929688,192.05999755859375,198.35800170898438,34.34000015258789,60.7400016784668
2020-06-18,87.93250274658203,235.94000244140625,368.7200012207031,168.0500030517578,863.5599975585938,98.2699966430664,191.97999572753906,200.79200744628906,34.029998779296875,61.34000015258789
2020-06-19,87.43000030517578,238.7899932861328,370.45001220703125,164.36000061035156,881.0,97.9800033569336,201.52999877929688,200.17999267578125,33.40999984741211,62.25
2020-06-22,89.71749877929688,239.22000122070312,381.07000732421875,170.25999450683594,904.8099975585938,104.22000122070312,204.94000244140625,198.86399841308594,33.470001220703125,60.65999984741211
